Initializing AFE4404...
Initialized Success!
PD4:1566370, PD2:1222354
PD4:1565565, PD2:1221331
PD4:1565333, PD2:1219894
PD4:1564924, PD2:1218803
PD4:1564519, PD2:1217672
PD4:1564328, PD2:1217047
PD4:1564319, PD2:1217501
PD4:1564069, PD2:1218919
PD4:1564066, PD2:1220558
PD4:1564012, PD2:1222575
PD4:1563728, PD2:1224186
PD4:1563580, PD2:1225818
PD4:1563859, PD2:1226528
PD4:1563691, PD2:1226964
PD4:1563886, PD2:1227234
PD4:1563639, PD2:1227142
PD4:1563466, PD2:1226915
PD4:1563391, PD2:1227432
PD4:1563360, PD2:1228279
PD4:1563330, PD2:1229430
PD4:1562987, PD2:1230590
PD4:1562987, PD2:1232336
PD4:1562971, PD2:1233981
PD4:1562854, PD2:1235917
PD4:1562937, PD2:1236710
PD4:1562750, PD2:1236969
PD4:1562762, PD2:1236571
PD4:1562343, PD2:1236217
PD4:1562717, PD2:1235862
PD4:1562094, PD2:1236216
PD4:1562424, PD2:1237823
PD4:1562089, PD2:1237010
PD4:1562348, PD2:1235466
PD4:1562060, PD2:1236719
PD4:1562124, PD2:1238151
PD4:1562138, PD2:1239763
PD4:1562245, PD2:1241392
PD4:1562094, PD2:1243540
PD4:1561914, PD2:1248163
PD4:1561785, PD2:1250316
PD4:1561709, PD2:1251302
PD4:1561833, PD2:1251404
PD4:1561626, PD2:1251484
PD4:1561757, PD2:1253783
PD4:1561719, PD2:1260758
PD4:1561961, PD2:1263885
PD4:1562089, PD2:1262004
PD4:1561718, PD2:1259332
PD4:1561900, PD2:1259209
PD4:1561967, PD2:1259337
PD4:1561630, PD2:1260248
PD4:1561865, PD2:1261090
PD4:1561750, PD2:1261358
PD4:1561831, PD2:1261780
PD4:1561907, PD2:1262580
PD4:1561755, PD2:1263186
PD4:1561584, PD2:1263727
PD4:1561494, PD2:1263713
PD4:1561296, PD2:1263600
PD4:1560858, PD2:1263723
PD4:1560167, PD2:1264395
PD4:1559949, PD2:1265684
PD4:1559489, PD2:1269464
PD4:1558889, PD2:1272086
PD4:1559046, PD2:1272180
PD4:1559136, PD2:1271941
PD4:1558926, PD2:1271805
PD4:1558613, PD2:1271503
PD4:1558261, PD2:1271203
PD4:1557896, PD2:1270780
PD4:1557796, PD2:1268067
PD4:1557548, PD2:1265817
PD4:1557356, PD2:1260164
PD4:1557214, PD2:1255872
PD4:1556667, PD2:1257424
PD4:1556803, PD2:1258780
PD4:1557213, PD2:1260107
PD4:1557082, PD2:1260589
PD4:1557020, PD2:1260523
PD4:1556689, PD2:1260220
PD4:1556816, PD2:1263222
PD4:1556741, PD2:1269298
PD4:1556829, PD2:1273118
PD4:1556537, PD2:1277023
PD4:1556482, PD2:1278005
PD4:1556448, PD2:1278479
PD4:1556723, PD2:1278920
PD4:1556425, PD2:1280257
PD4:1556265, PD2:1281827
PD4:1556384, PD2:1284277
PD4:1555897, PD2:1284385
PD4:1556365, PD2:1283907
PD4:1556066, PD2:1282473
PD4:1555947, PD2:1280405
PD4:1555958, PD2:1277751
PD4:1556287, PD2:1279530
PD4:1556224, PD2:1278352
PD4:1556169, PD2:1275337
PD4:1555632, PD2:1275657
PD4:1555568, PD2:1275644
PD4:1555048, PD2:1276604
PD4:1555548, PD2:1277670
PD4:1555040, PD2:1278480
PD4:1554707, PD2:1278570
PD4:1554538, PD2:1278410
PD4:1554458, PD2:1278269
PD4:1554235, PD2:1278316
PD4:1554240, PD2:1278618
PD4:1553934, PD2:1279236
PD4:1554017, PD2:1279962
PD4:1553853, PD2:1280808
PD4:1553896, PD2:1281090
PD4:1553938, PD2:1280886
PD4:1554306, PD2:1280295
PD4:1553787, PD2:1279748
PD4:1554187, PD2:1279312
PD4:1553774, PD2:1279324
PD4:1553579, PD2:1279423
PD4:1553457, PD2:1279858
PD4:1553327, PD2:1279759
PD4:1553327, PD2:1279220
PD4:1553142, PD2:1277976
PD4:1553335, PD2:1276722
PD4:1553073, PD2:1275467
PD4:1553080, PD2:1274585
PD4:1553213, PD2:1273678
PD4:1552669, PD2:1274757
PD4:1552647, PD2:1276161
PD4:1552743, PD2:1277149
PD4:1552438, PD2:1277232
PD4:1552636, PD2:1276192
PD4:1552365, PD2:1274304
PD4:1552373, PD2:1271683
PD4:1552215, PD2:1268814
PD4:1552297, PD2:1269555
PD4:1552319, PD2:1270778
PD4:1552490, PD2:1268761
PD4:1552512, PD2:1268461
PD4:1552526, PD2:1267846
