Device disconnected: 68:37:22:d2:22:6d (Reason: 531)
Initializing AFE4404...
Initialized Success!
PD4:1743482, PD2:1446853
PD4:1743036, PD2:1446838
PD4:1743036, PD2:1446839
PD4:1743188, PD2:1446971
PD4:1743255, PD2:1447015
PD4:1743100, PD2:1447148
PD4:1743249, PD2:1447205
PD4:1743315, PD2:1447050
PD4:1743238, PD2:1447167
PD4:1743360, PD2:1447383
PD4:1743308, PD2:1447969
PD4:1743333, PD2:1447938
PD4:1743274, PD2:1448026
PD4:1743489, PD2:1447785
PD4:1743147, PD2:1447675
PD4:1743434, PD2:1448107
PD4:1743278, PD2:1448034
PD4:1743649, PD2:1448138
PD4:1743615, PD2:1448073
PD4:1743643, PD2:1448026
PD4:1743465, PD2:1447827
PD4:1743383, PD2:1447909
PD4:1743151, PD2:1447404
PD4:1743159, PD2:1447594
PD4:1742823, PD2:1447551
PD4:1742823, PD2:1447436
PD4:1743204, PD2:1447186
PD4:1743089, PD2:1447180
PD4:1743417, PD2:1447197
PD4:1742873, PD2:1446953
PD4:1743143, PD2:1446624
PD4:1742958, PD2:1446841
PD4:1742977, PD2:1446991
PD4:1742849, PD2:1447161
PD4:1743149, PD2:1447784
PD4:1743003, PD2:1447961
PD4:1743337, PD2:1448384
PD4:1742502, PD2:1448617
PD4:1743187, PD2:1448842
PD4:1743253, PD2:1448757
PD4:1743374, PD2:1448256
PD4:1743732, PD2:1448269
PD4:1743495, PD2:1448249
PD4:1743321, PD2:1448789
PD4:1742778, PD2:1448881
PD4:1742701, PD2:1448917
PD4:1742730, PD2:1448857
PD4:1742964, PD2:1448940
PD4:1742903, PD2:1448748
PD4:1742818, PD2:1448749
PD4:1742679, PD2:1448527
PD4:1742632, PD2:1448482
PD4:1742903, PD2:1448661
PD4:1743002, PD2:1449066
PD4:1743194, PD2:1449550
PD4:1743131, PD2:1449372
PD4:1743157, PD2:1449119
PD4:1742793, PD2:1449699
PD4:1742392, PD2:1449409
PD4:1742445, PD2:1449920
PD4:1743063, PD2:1449579
PD4:1742819, PD2:1449869
PD4:1742615, PD2:1449905
PD4:1742748, PD2:1449923
PD4:1742751, PD2:1449915
PD4:1742693, PD2:1449929
PD4:1742872, PD2:1449579
PD4:1742355, PD2:1449181
PD4:1742702, PD2:1448975
PD4:1742652, PD2:1448877
PD4:1742905, PD2:1448960
PD4:1743194, PD2:1448619
PD4:1743201, PD2:1448166
PD4:1743512, PD2:1447901
PD4:1743228, PD2:1447920
PD4:1743115, PD2:1448091
PD4:1743131, PD2:1448165
PD4:1742827, PD2:1448460
PD4:1742487, PD2:1448205
PD4:1742487, PD2:1448311
PD4:1742705, PD2:1448380
PD4:1742644, PD2:1448469
PD4:1742788, PD2:1448409
PD4:1742611, PD2:1448572
PD4:1742518, PD2:1448356
PD4:1742674, PD2:1449066
PD4:1742592, PD2:1449124
PD4:1742651, PD2:1449120
PD4:1742601, PD2:1449231
PD4:1742673, PD2:1449322
PD4:1742509, PD2:1449088
PD4:1742492, PD2:1449303
PD4:1742445, PD2:1449093
PD4:1742871, PD2:1449297
PD4:1743112, PD2:1449284
PD4:1743044, PD2:1449259
PD4:1742773, PD2:1449097
PD4:1742729, PD2:1449332
PD4:1742903, PD2:1449228
PD4:1742734, PD2:1449564
PD4:1742473, PD2:1449726
PD4:1742473, PD2:1449983
PD4:1742531, PD2:1449691
PD4:1742582, PD2:1449376
PD4:1742677, PD2:1449871
PD4:1742194, PD2:1449456
PD4:1742457, PD2:1449388
PD4:1742494, PD2:1449764
PD4:1742612, PD2:1450049
PD4:1743150, PD2:1450041
PD4:1742740, PD2:1450147
PD4:1742571, PD2:1450074
PD4:1742291, PD2:1449899
PD4:1742398, PD2:1449983
PD4:1742318, PD2:1449978
PD4:1742536, PD2:1450142
PD4:1742643, PD2:1450409
PD4:1742805, PD2:1450418
PD4:1742838, PD2:1450326
PD4:1742751, PD2:1450356
PD4:1742894, PD2:1450631
PD4:1742737, PD2:1450666
PD4:1742518, PD2:1450807
PD4:1742518, PD2:1450732
PD4:1742552, PD2:1450999
PD4:1742448, PD2:1450659
PD4:1742530, PD2:1451044
PD4:1742611, PD2:1450863
PD4:1742474, PD2:1450378
PD4:1742456, PD2:1450307
PD4:1742694, PD2:1449849
PD4:1742335, PD2:1449817
PD4:1742356, PD2:1449836
PD4:1742444, PD2:1449874
PD4:1742530, PD2:1449415
PD4:1742269, PD2:1448824
PD4:1742392, PD2:1448920
PD4:1742255, PD2:1448811
PD4:1742467, PD2:1448821
PD4:1742787, PD2:1448821
PD4:1742666, PD2:1448773
PD4:1742352, PD2:1448669
PD4:1742469, PD2:1449037
PD4:1742362, PD2:1448833
PD4:1742415, PD2:1449264
PD4:1742111, PD2:1449474
PD4:1742111, PD2:1449343
PD4:1742024, PD2:1449531
PD4:1742035, PD2:1449830
PD4:1742106, PD2:1449911
PD4:1741943, PD2:1449737
PD4:1742075, PD2:1449511
PD4:1741834, PD2:1449617
PD4:1742053, PD2:1449800
PD4:1741872, PD2:1449829
PD4:1741953, PD2:1450141
PD4:1741672, PD2:1449967
PD4:1741731, PD2:1449589
PD4:1741686, PD2:1449479
PD4:1741803, PD2:1449642
PD4:1741957, PD2:1449647
PD4:1742302, PD2:1449891
PD4:1742161, PD2:1449949
PD4:1742118, PD2:1449575
PD4:1741746, PD2:1449766
PD4:1742016, PD2:1450025
PD4:1741856, PD2:1450229
PD4:1741609, PD2:1450342
PD4:1741609, PD2:1450415
PD4:1741481, PD2:1450879
PD4:1741851, PD2:1450474
PD4:1741756, PD2:1450332
PD4:1741919, PD2:1450301
PD4:1741931, PD2:1450360
PD4:1741588, PD2:1450620
PD4:1741345, PD2:1450825
PD4:1741197, PD2:1450798
PD4:1741369, PD2:1450848
PD4:1741359, PD2:1450870
PD4:1741455, PD2:1451116
PD4:1741434, PD2:1450779
PD4:1741173, PD2:1450730
PD4:1741337, PD2:1450982
PD4:1741297, PD2:1450977
PD4:1741585, PD2:1451191
PD4:1741711, PD2:1451224
PD4:1741664, PD2:1451322
PD4:1741945, PD2:1451153
PD4:1741698, PD2:1451395
PD4:1742000, PD2:1451334
PD4:1741533, PD2:1451661
PD4:1741370, PD2:1451704
PD4:1741370, PD2:1451694
PD4:1741269, PD2:1451682
PD4:1741431, PD2:1451862
PD4:1741268, PD2:1451656
PD4:1741256, PD2:1451489
PD4:1741331, PD2:1451008
PD4:1741339, PD2:1450744
PD4:1741328, PD2:1450884
PD4:1741206, PD2:1450425
PD4:1741114, PD2:1450210
PD4:1741236, PD2:1449513
PD4:1740658, PD2:1449440
PD4:1740906, PD2:1449721
PD4:1740535, PD2:1449933
PD4:1740163, PD2:1449537
PD4:1740513, PD2:1449920
PD4:1740744, PD2:1449951
PD4:1740643, PD2:1449873
PD4:1740412, PD2:1449956
PD4:1740131, PD2:1449986
PD4:1740165, PD2:1450164
PD4:1740045, PD2:1449948
PD4:1740234, PD2:1449891
PD4:1739990, PD2:1449546
PD4:1740007, PD2:1449145
PD4:1739589, PD2:1449044
PD4:1739848, PD2:1449180
PD4:1739898, PD2:1449289
PD4:1740213, PD2:1449298
PD4:1740199, PD2:1449187
PD4:1740162, PD2:1449227
PD4:1739969, PD2:1449349
PD4:1739980, PD2:1449391
PD4:1740220, PD2:1449504
PD4:1739859, PD2:1449857
PD4:1739481, PD2:1449937
PD4:1739481, PD2:1449966
PD4:1739399, PD2:1449859
PD4:1739530, PD2:1449829
PD4:1739531, PD2:1450141
PD4:1739578, PD2:1449745
PD4:1739579, PD2:1449657
PD4:1739562, PD2:1450078
PD4:1739630, PD2:1450330
PD4:1739475, PD2:1450392
PD4:1739485, PD2:1450812
PD4:1739556, PD2:1450787
PD4:1739413, PD2:1450524
PD4:1739329, PD2:1450690
PD4:1739315, PD2:1450694
PD4:1739434, PD2:1450746
PD4:1739723, PD2:1450876
PD4:1739771, PD2:1451064
PD4:1739738, PD2:1451089
PD4:1739543, PD2:1451300
PD4:1739750, PD2:1451405
PD4:1739418, PD2:1451513
PD4:1739023, PD2:1451906
PD4:1739023, PD2:1452176
PD4:1738872, PD2:1452225
PD4:1739033, PD2:1452374
PD4:1738968, PD2:1452328
PD4:1738964, PD2:1452317
PD4:1738650, PD2:1452035
PD4:1738713, PD2:1452268
